Stock,merged,Total_true,Total_false,UpTrend_Per,Up_True,Up_false,DownTrend_Per,down_True,down_False
CHAMBLFERT.csv,42.86,3,4,33.33,2,4,100.0,1,0
CHENNPETRO.csv,0.0,0,10,0.0,0,4,0.0,0,6
CHOLAFIN.csv,12.5,2,14,0.0,0,8,25.0,2,6
CIGNITITEC.csv,80.0,4,1,50.0,1,1,100.0,3,0
CIPLA.csv,0.0,0,4,0.0,0,3,0.0,0,1
COALINDIA.csv,44.44,4,5,44.44,4,5,-1.0,-1,-1
COFFEEDAY.csv,0.0,0,4,-1,-1,-1,0.0,0,4
COFORGE.csv,54.55,6,5,75.0,6,2,0.0,0,3
COLPAL.csv,21.43,3,11,28.57,2,5,14.29,1,6
CONCOR.csv,14.29,1,6,33.33,1,2,0.0,0,4
CONFIPET.csv,41.67,5,7,0.0,0,3,55.56,5,4
COROMANDEL.csv,16.67,3,15,16.67,2,10,16.67,1,5
CRISIL.csv,0.0,0,10,0.0,0,6,0.0,0,4
CSBBANK.csv,27.78,5,13,40.0,2,3,23.08,3,10
CUB.csv,22.22,2,7,25.0,1,3,20.0,1,4
CUMMINSIND.csv,9.09,1,10,10.0,1,9,0.0,0,1
CYIENT.csv,52.63,10,9,66.67,10,5,0.0,0,4
DABUR.csv,53.33,8,7,20.0,1,4,70.0,7,3
DCMSHRIRAM.csv,22.22,2,7,50.0,2,2,0.0,0,5
DEEPAKNTR.csv,40.0,6,9,85.71,6,1,0.0,0,8
DELTACORP.csv,50.0,6,6,28.57,2,5,80.0,4,1
DEVYANI.csv,0.0,0,3,0.0,0,3,-1.0,-1,-1
DHAMPURSUG.csv,35.71,5,9,62.5,5,3,0.0,0,6
DISHTV.csv,16.67,2,10,0.0,0,2,20.0,2,8
DIVISLAB.csv,33.33,2,4,-1,-1,-1,33.33,2,4
DIXON.csv,46.15,6,7,50.0,3,3,42.86,3,4
DLF.csv,69.23,9,4,100.0,6,0,42.86,3,4
DMART.csv,47.62,10,11,12.5,1,7,69.23,9,4
DRREDDY.csv,44.44,4,5,66.67,4,2,0.0,0,3
EASEMYTRIP.csv,58.33,7,5,37.5,3,5,100.0,4,0
EBIXFOREX.csv,-1.0,-1,-1,-1,-1,-1,-1.0,-1,-1
EDELWEISS.csv,50.0,8,8,37.5,3,5,62.5,5,3
EICHERMOT.csv,33.33,4,8,50.0,4,4,0.0,0,4
EIDPARRY.csv,37.5,3,5,33.33,1,2,40.0,2,3
EIHOTEL.csv,41.67,5,7,33.33,2,4,50.0,3,3
ELECTCAST.csv,87.5,7,1,83.33,5,1,100.0,2,0
ELGIEQUIP.csv,44.44,4,5,57.14,4,3,0.0,0,2
EMAMILTD.csv,52.17,12,11,46.15,6,7,60.0,6,4
ENDURANCE.csv,15.0,3,17,17.65,3,14,0.0,0,3
ENGINERSIN.csv,28.57,2,5,66.67,2,1,0.0,0,4
ESABINDIA.csv,41.67,5,7,45.45,5,6,0.0,0,1
ESCORTS.csv,30.43,7,16,14.29,2,12,55.56,5,4
EXCELINDUS.csv,43.75,7,9,100.0,2,0,35.71,5,9
EXIDEIND.csv,14.29,1,6,25.0,1,3,0.0,0,3
FDC.csv,23.08,3,10,16.67,1,5,28.57,2,5
FEDERALBNK.csv,40.0,4,6,57.14,4,3,0.0,0,3
FILATEX.csv,50.0,5,5,40.0,2,3,60.0,3,2
FINCABLES.csv,58.33,7,5,57.14,4,3,60.0,3,2
FINEORG.csv,41.67,5,7,44.44,4,5,33.33,1,2
FINPIPE.csv,0.0,0,4,0.0,0,3,0.0,0,1
FLUOROCHEM.csv,47.06,8,9,53.33,8,7,0.0,0,2
FMGOETZE.csv,55.56,10,8,66.67,6,3,44.44,4,5
FORCEMOT.csv,11.11,1,8,0.0,0,4,20.0,1,4
FORTIS.csv,40.0,2,3,40.0,2,3,-1.0,-1,-1
FOSECOIND.csv,27.27,3,8,42.86,3,4,0.0,0,4
FRETAIL.csv,50.0,1,1,50.0,1,1,-1.0,-1,-1
FSC.csv,0.0,0,5,-1,-1,-1,0.0,0,5
GABRIEL.csv,71.43,10,4,90.0,9,1,25.0,1,3
GAIL.csv,20.0,1,4,33.33,1,2,0.0,0,2
GALAXYSURF.csv,50.0,6,6,71.43,5,2,20.0,1,4
GALLISPAT.csv,25.0,1,3,25.0,1,3,-1.0,-1,-1
GATI.csv,70.0,7,3,75.0,6,2,50.0,1,1
GDL.csv,33.33,1,2,33.33,1,2,-1.0,-1,-1
GEOJITFSL.csv,75.0,3,1,100.0,1,0,66.67,2,1
GEPIL.csv,12.5,1,7,0.0,0,1,14.29,1,6
GICRE.csv,60.0,6,4,42.86,3,4,100.0,3,0
GLAND.csv,40.0,6,9,33.33,2,4,44.44,4,5
GLENMARK.csv,17.39,4,19,0.0,0,5,22.22,4,14
GMDCLTD.csv,12.5,1,7,50.0,1,1,0.0,0,6
GMRINFRA.csv,22.22,2,7,0.0,0,6,66.67,2,1
GODREJCP.csv,0.0,0,13,0.0,0,9,0.0,0,4
GODREJPROP.csv,46.15,6,7,50.0,2,2,44.44,4,5
GPIL.csv,33.33,4,8,66.67,4,2,0.0,0,6
GRAPHITE.csv,66.67,4,2,-1,-1,-1,66.67,4,2
GRASIM.csv,41.67,5,7,44.44,4,5,33.33,1,2
GREENLAM.csv,53.85,7,6,100.0,7,0,0.0,0,6
GREENPANEL.csv,36.36,4,7,28.57,2,5,50.0,2,2
GREENPLY.csv,0.0,0,12,0.0,0,7,0.0,0,5
GRINDWELL.csv,53.85,7,6,58.33,7,5,0.0,0,1
GTLINFRA.csv,25.0,1,3,0.0,0,3,100.0,1,0
GTPL.csv,71.43,10,4,66.67,2,1,72.73,8,3
GUJALKALI.csv,54.55,6,5,60.0,6,4,0.0,0,1
GUJGASLTD.csv,10.0,1,9,20.0,1,4,0.0,0,5
GULFOILLUB.csv,6.25,1,15,0.0,0,4,8.33,1,11
HAL.csv,69.23,9,4,69.23,9,4,-1.0,-1,-1
HAPPSTMNDS.csv,33.33,1,2,-1,-1,-1,33.33,1,2
HATHWAY.csv,0.0,0,9,-1,-1,-1,0.0,0,9
HATSUN.csv,20.0,2,8,0.0,0,3,28.57,2,5
HAVELLS.csv,27.27,3,8,0.0,0,5,50.0,3,3
HBLPOWER.csv,54.55,6,5,54.55,6,5,-1.0,-1,-1
HCC.csv,38.46,5,8,55.56,5,4,0.0,0,4
HCLTECH.csv,9.09,1,10,14.29,1,6,0.0,0,4
HDFC.csv,25.0,3,9,28.57,2,5,20.0,1,4
HDFCBANK.csv,25.0,1,3,0.0,0,3,100.0,1,0
